2079;11/11/2020;001;002;003;006;009;012;014;015;017;018;019;022;023;024;025;24.996.467,50;0;;593;16625;194561;904945;0,00;865,93;25,00;10,00;5,00;5.063.754,38;7.500.000,00;16.493.389,97;
2078;10/11/2020;001;002;003;004;006;012;013;015;017;018;019;021;022;024;025;16.530.052,50;0;;234;8498;104672;581585;0,00;1.665,93;25,00;10,00;5,00;1.301.428,31;3.500.000,00;16.078.639,04;
2077;09/11/2020;003;004;005;007;008;010;011;012;013;014;015;016;021;024;025;19.171.547,50;3;CANALELETRONICO\t--POA\tSP;211;7357;103194;657667;550.697,66;1.641,74;25,00;10,00;5,00;0,00;1.500.000,00;15.763.777,34;
2076;07/11/2020;001;003;005;006;009;010;011;012;013;014;015;018;022;024;025;14.333.302,50;3;CANALELETRONICO\t--ALVORADA\tRSSANTABARBARAD'OESTE\tSP;196;7113;95742;521955;357.104,84;1.637,24;25,00;10,00;5,00;0,00;1.500.000,00;15.364.077,42;
2075;06/11/2020;002;003;005;007;008;009;011;012;013;0020;0021;0022;0023;0024;0025;19.942.962,50;7;GUANAMBI\tBAITABUNA\tBAAPARECIDADEGOIANIA\tGONOVOHAMBURGO\tRSBRAGANCAPAULISTA\tSPPRESIDENTEPRUDENTE\tSPSAOPAULO\tSP;701;19460;192235;843414;125.199,96;374,48;25,00;10,00;5,00;0,00;1.500.000,00;15.104.888,42;
2074;05/11/2020;002;003;004;005;006;009;014;015;018;0020;0021;0022;0023;0024;0025;15.933.297,50;2;LONDRINA\tPROUROPRETODOOESTE\tRO;182;7040;90255;530535;689.161,51;1.587,93;25,00;10,00;5,00;0,00;1.500.000,00;14.892.856,21;
2073;04/11/2020;004;005;006;007;011;012;013;015;016;0040;0041;0042;0043;0044;0045;25.071.660,00;5;VILAVELHA\tESPARAGOMINAS\tPAROLIMDEMOURA\tRORIODOOESTE\tSCMONTEDOCARMO\tTO;286;12717;153389;870152;701.726,69;1.484,63;25,00;10,00;5,00;0,00;1.200.000,00;14.559.390,96;
2072;03/11/2020;001;003;004;009;010;011;012;013;014;0010;0011;0012;0013;0014;0015;18.437.172,50;0;;252;8778;114336;642257;0,00;1.763,47;25,00;10,00;5,00;1.483.593,96;4.000.000,00;14.069.462,03;
2071;31/10/2020;001;002;004;006;009;010;011;012;013;0010;0011;0012;0013;0014;0015;13.942.792,50;1;LIMEIRA\tSP;216;6740;84522;455293;1.195.242,75;1.657,50;25,00;10,00;5,00;0,00;1.500.000,00;13.710.528,00;
2070;30/10/2020;002;004;006;008;009;012;013;014;015;0020;0021;0022;0023;0024;0025;24.543.067,50;4;BRASILIA\tDFJARAGUA\tGOBELOHORIZONTE\tMGDIANOPOLIS\tTO;388;17081;162642;846444;1.045.312,05;1.458,73;25,00;10,00;5,00;0,00;1.200.000,00;13.421.356,36;
2069;29/10/2020;001;002;003;004;005;006;007;009;013;0010;0011;0012;0013;0014;0015;20.260.765,00;5;FEIRADESANTANA\tBABELOHORIZONTE\tMGLEOPOLDINA\tMGTEOFILOOTONI\tMGRIODEJANEIRO\tRJ;701;13397;129898;702104;588.014,26;674,77;25,00;10,00;5,00;1.986.955,79;3.500.000,00;12.964.212,10;
2068;28/10/2020;001;002;003;007;010;014;015;016;018;0010;0011;0012;0013;0014;0015;17.160.902,50;0;;262;8925;111278;593521;0,00;1.555,90;25,00;10,00;5,00;1.360.911,70;3.000.000,00;12.582.157,35;
2067;27/10/2020;001;007;008;009;012;013;014;016;017;0010;0011;0012;0013;0014;0015;20.422.680,00;3;CANALELETRONICO\t--;280;9532;127753;715973;1.012.386,20;1.744,57;25,00;10,00;5,00;0,00;1.500.000,00;12.252.904,51;
2066;26/10/2020;002;004;006;008;009;010;012;014;015;0020;0021;0022;0023;0024;0025;17.812.732,50;0;;300;11183;120309;599726;0,00;1.404,22;25,00;10,00;5,00;1.406.387,64;3.000.000,00;11.858.363,14;
2065;24/10/2020;004;005;006;007;008;009;010;011;012;0040;0041;0042;0043;0044;0045;13.477.095,00;5;DOMAQUINO\tMTPAULISTA\tPERECIFE\tPERIODEJANEIRO\tRJANHUMAS\tSP;180;7104;79634;466401;220.157,41;1.831,82;25,00;10,00;5,00;0,00;1.500.000,00;11.518.108,05;
2064;23/10/2020;006;007;009;010;011;012;013;017;018;0060;0061;0062;0063;0064;0065;18.700.960,00;1;MANAUS\tAM;269;8003;109315;627829;1.594.731,33;1.775,77;25,00;10,00;5,00;0,00;1.200.000,00;11.251.788,59;
2063;22/10/2020;001;002;005;006;007;010;011;013;016;0010;0011;0012;0013;0014;0015;14.768.215,00;1;TAPEJARA\tRS;317;9585;103348;526645;1.083.129,98;1.023,46;25,00;10,00;5,00;0,00;1.500.000,00;10.865.966,48;
2062;21/10/2020;003;004;006;007;008;009;010;012;014;0030;0031;0032;0033;0034;0035;17.903.310,00;1;IMPERATRIZ\tMA;227;9942;118900;633180;1.370.413,54;1.808,33;25,00;10,00;5,00;0,00;1.200.000,00;10.603.918,90;
2061;20/10/2020;001;002;005;008;010;011;012;015;016;0010;0011;0012;0013;0014;0015;15.438.952,50;2;SALVADOR\tBAJI-PARANA\tRO;193;7433;100161;551377;596.417,10;1.851,29;25,00;10,00;5,00;0,00;1.500.000,00;10.272.367,22;
2060;19/10/2020;003;005;009;013;014;016;017;018;019;0030;0031;0032;0033;0034;0035;23.948.605,00;4;BELOHORIZONTE\tMGTERESINA\tPICURITIBA\tPR;497;13135;165073;855165;1.019.961,91;1.079,44;25,00;10,00;5,00;0,00;1.200.000,00;9.983.778,29;
2059;17/10/2020;001;004;005;010;012;014;015;016;017;0010;0011;0012;0013;0014;0015;14.138.075,00;1;LAGES\tSC;191;6385;83694;482559;1.180.261,05;1.850,96;25,00;10,00;5,00;1.999.945,37;3.700.000,00;9.550.465,31;
2058;16/10/2020;001;005;007;008;010;012;013;014;015;0010;0011;0012;0013;0014;0015;19.852.030,00;1;CANALELETRONICO\t--;275;10313;133439;718162;1.485.508,22;1.618,06;25,00;10,00;5,00;0,00;1.200.000,00;9.264.918,27;
2057;15/10/2020;002;005;006;008;009;010;011;012;013;0020;0021;0022;0023;0024;0025;22.802.142,50;4;GOIANIA\tGOCHAPECO\tSCGUARULHOS\tSPPALMAS\tTO;301;11459;155019;809238;803.932,83;1.728,38;25,00;10,00;5,00;0,00;1.500.000,00;8.905.521,12;
2056;14/10/2020;001;003;004;005;006;009;010;013;015;0010;0011;0012;0013;0014;0015;18.310.727,50;0;;215;8188;113743;637585;0,00;1.442,31;25,00;10,00;5,00;1.478.918,09;3.400.000,00;8.485.324,36;
2055;13/10/2020;001;002;003;004;005;007;011;014;015;0010;0011;0012;0013;0014;0015;18.532.490,00;3;BRASILIA\tDFCURITIBA\tPRSAOPAULO\tSP;218;9740;113412;633765;504.509,00;1.455,75;25,00;10,00;5,00;0,00;1.500.000,00;8.127.521,58;
2054;10/10/2020;001;002;003;005;007;008;010;011;012;0010;0011;0012;0013;0014;0015;14.182.757,50;4;CANALELETRONICO\t--CURITIBA\tPRRIODEJANEIRO\tRJITAQUAQUECETUBA\tSP;426;11171;112276;541675;221.102,97;621,86;25,00;10,00;5,00;0,00;1.500.000,00;7.761.345,69;
